rows,cols,vehicles,hub_ratio,variance,method,iteration,best_fitness
4,4,10,0.0,0.1,qpso,0,71829.3788
4,4,10,0.0,0.1,qpso,1,71829.3788
4,4,10,0.0,0.1,qpso,2,71763.4789
4,4,10,0.0,0.1,qpso,3,71763.4789
4,4,10,0.0,0.1,qpso,4,71289.9225
4,4,10,0.0,0.1,qpso,5,71289.9225
4,4,10,0.0,0.1,qpso,6,71289.9225
4,4,10,0.0,0.1,qpso,7,71289.9225
4,4,10,0.0,0.1,qpso,8,71289.9225
4,4,10,0.0,0.1,qpso,9,71289.9225
4,4,10,0.0,0.1,qpso,10,71289.9225
4,4,10,0.0,0.1,qpso,11,71289.9225
4,4,10,0.0,0.1,qpso,12,71289.9225
4,4,10,0.0,0.1,qpso,13,71289.9225
4,4,10,0.0,0.1,qpso,14,71289.9225
4,4,10,0.0,0.1,qpso,15,71289.9225
4,4,10,0.0,0.1,qpso,16,71289.9225
4,4,10,0.0,0.1,qpso,17,71289.9225
4,4,10,0.0,0.1,qpso,18,71289.9225
4,4,10,0.0,0.1,qpso,19,71289.9225
4,4,10,0.0,0.1,qpso,20,71289.9225
4,4,10,0.0,0.1,pso,0,71829.3788
4,4,10,0.0,0.1,pso,1,71775.5299
4,4,10,0.0,0.1,pso,2,71726.3991
4,4,10,0.0,0.1,pso,3,71223.8789
4,4,10,0.0,0.1,pso,4,71223.8789
4,4,10,0.0,0.1,pso,5,71223.8789
4,4,10,0.0,0.1,pso,6,71223.8789
4,4,10,0.0,0.1,pso,7,71223.8789
4,4,10,0.0,0.1,pso,8,71223.8789
4,4,10,0.0,0.1,pso,9,71223.8789
4,4,10,0.0,0.1,pso,10,71214.8762
4,4,10,0.0,0.1,pso,11,71214.8762
4,4,10,0.0,0.1,pso,12,71138.1198
4,4,10,0.0,0.1,pso,13,71138.1198
4,4,10,0.0,0.1,pso,14,71138.1198
4,4,10,0.0,0.1,pso,15,71138.1198
4,4,10,0.0,0.1,pso,16,71138.1198
4,4,10,0.0,0.1,pso,17,71138.1198
4,4,10,0.0,0.1,pso,18,71138.1198
4,4,10,0.0,0.1,pso,19,71138.1198
4,4,10,0.0,0.1,pso,20,71138.1198
4,4,10,0.0,0.1,ga,0,71829.3788
4,4,10,0.0,0.1,ga,1,71829.3788
4,4,10,0.0,0.1,ga,2,71829.3788
4,4,10,0.0,0.1,ga,3,71829.3788
4,4,10,0.0,0.1,ga,4,71829.3788
4,4,10,0.0,0.1,ga,5,71752.5783
4,4,10,0.0,0.1,ga,6,71752.5783
4,4,10,0.0,0.1,ga,7,71752.5783
4,4,10,0.0,0.1,ga,8,71296.8722
4,4,10,0.0,0.1,ga,9,71247.8999
4,4,10,0.0,0.1,ga,10,71171.3736
4,4,10,0.0,0.1,ga,11,71165.5256
4,4,10,0.0,0.1,ga,12,71165.5256
4,4,10,0.0,0.1,ga,13,71165.5256
4,4,10,0.0,0.1,ga,14,71165.5256
4,4,10,0.0,0.1,ga,15,71165.5256
4,4,10,0.0,0.1,ga,16,71165.5256
4,4,10,0.0,0.1,ga,17,71165.5256
4,4,10,0.0,0.1,ga,18,71165.5256
4,4,10,0.0,0.1,ga,19,71165.5256
4,4,10,0.0,0.1,ga,20,71165.5256
4,4,10,0.0,0.5,qpso,0,68973.0548
4,4,10,0.0,0.5,qpso,1,68973.0548
4,4,10,0.0,0.5,qpso,2,68973.0548
4,4,10,0.0,0.5,qpso,3,68799.392
4,4,10,0.0,0.5,qpso,4,68799.392
4,4,10,0.0,0.5,qpso,5,68799.392
4,4,10,0.0,0.5,qpso,6,68799.392
4,4,10,0.0,0.5,qpso,7,68799.392
4,4,10,0.0,0.5,qpso,8,68799.392
4,4,10,0.0,0.5,qpso,9,68799.392
4,4,10,0.0,0.5,qpso,10,68799.392
4,4,10,0.0,0.5,qpso,11,68799.392
4,4,10,0.0,0.5,qpso,12,68799.392
4,4,10,0.0,0.5,qpso,13,68799.392
4,4,10,0.0,0.5,qpso,14,68799.392
4,4,10,0.0,0.5,qpso,15,68799.392
4,4,10,0.0,0.5,qpso,16,68799.392
4,4,10,0.0,0.5,qpso,17,68799.392
4,4,10,0.0,0.5,qpso,18,68799.392
4,4,10,0.0,0.5,qpso,19,68799.392
4,4,10,0.0,0.5,qpso,20,68799.392
4,4,10,0.0,0.5,pso,0,68973.0548
4,4,10,0.0,0.5,pso,1,68799.392
4,4,10,0.0,0.5,pso,2,68799.392
4,4,10,0.0,0.5,pso,3,68799.392
4,4,10,0.0,0.5,pso,4,68799.392
4,4,10,0.0,0.5,pso,5,68799.392
4,4,10,0.0,0.5,pso,6,68799.392
4,4,10,0.0,0.5,pso,7,68799.392
4,4,10,0.0,0.5,pso,8,68799.392
4,4,10,0.0,0.5,pso,9,68799.392
4,4,10,0.0,0.5,pso,10,68799.392
4,4,10,0.0,0.5,pso,11,68799.392
4,4,10,0.0,0.5,pso,12,68799.392
4,4,10,0.0,0.5,pso,13,68799.392
4,4,10,0.0,0.5,pso,14,68799.392
4,4,10,0.0,0.5,pso,15,68799.392
4,4,10,0.0,0.5,pso,16,68799.392
4,4,10,0.0,0.5,pso,17,68799.392
4,4,10,0.0,0.5,pso,18,68799.392
4,4,10,0.0,0.5,pso,19,68799.392
4,4,10,0.0,0.5,pso,20,68799.392
4,4,10,0.0,0.5,ga,0,68973.0548
4,4,10,0.0,0.5,ga,1,68973.0548
4,4,10,0.0,0.5,ga,2,68973.0548
4,4,10,0.0,0.5,ga,3,68973.0548
4,4,10,0.0,0.5,ga,4,68973.0548
