rows,cols,vehicles,hub_ratio,variance,reduction_ratio,method,final_fitness,ue_fitness,improve_pct,runtime_sec,gap_to_best_pct
4,4,10,0.0,0.1,0.9583333333333334,qpso,71289.9225,72115.2554,1.1445,0.095,0.2134
4,4,10,0.0,0.1,0.9583333333333334,pso,71138.1198,72115.2554,1.355,0.09,0.0
4,4,10,0.0,0.1,0.9583333333333334,ga,71165.5256,72115.2554,1.317,0.0962,0.0385
4,4,10,0.0,0.5,1.0,qpso,68799.392,69658.2206,1.2329,0.092,0.0
4,4,10,0.0,0.5,1.0,pso,68799.392,69658.2206,1.2329,0.09,0.0
4,4,10,0.0,0.5,1.0,ga,68799.392,69658.2206,1.2329,0.0917,0.0
4,4,10,9.0,0.1,0.8333333333333334,qpso,71039.0895,74435.5286,4.5629,0.0846,0.0
4,4,10,9.0,0.1,0.8333333333333334,pso,71540.8457,74435.5286,3.8888,0.0858,0.7063
4,4,10,9.0,0.1,0.8333333333333334,ga,71154.6739,74435.5286,4.4076,0.1004,0.1627
4,4,10,9.0,0.5,0.9791666666666666,qpso,93324.8485,96866.4913,3.6562,0.1166,0.0766
4,4,10,9.0,0.5,0.9791666666666666,pso,93253.4135,96866.4913,3.73,0.1022,0.0
4,4,10,9.0,0.5,0.9791666666666666,ga,93253.4135,96866.4913,3.73,0.0998,0.0
4,4,20,0.0,0.1,1.0,qpso,122420.7972,122581.6668,0.1312,0.1727,0.0
4,4,20,0.0,0.1,1.0,pso,122488.4293,122581.6668,0.0761,0.1691,0.0552
4,4,20,0.0,0.1,1.0,ga,122420.7972,122581.6668,0.1312,0.1834,0.0
4,4,20,0.0,0.5,1.0,qpso,139037.2416,139037.2416,0.0,0.1704,0.0
4,4,20,0.0,0.5,1.0,pso,139037.2416,139037.2416,0.0,0.1591,0.0
4,4,20,0.0,0.5,1.0,ga,139037.2416,139037.2416,0.0,0.1772,0.0
4,4,20,9.0,0.1,1.0,qpso,115052.594,115211.1586,0.1376,0.1634,0.0
4,4,20,9.0,0.1,1.0,pso,115087.487,115211.1586,0.1073,0.1688,0.0303
4,4,20,9.0,0.1,1.0,ga,115052.594,115211.1586,0.1376,0.1595,0.0
4,4,20,9.0,0.5,1.0,qpso,149596.8312,149596.8312,0.0,0.1637,0.0
4,4,20,9.0,0.5,1.0,pso,149596.8312,149596.8312,0.0,0.1588,0.0
4,4,20,9.0,0.5,1.0,ga,149596.8312,149596.8312,0.0,0.1717,0.0
6,6,10,0.0,0.1,0.6,qpso,92515.6869,97449.2229,5.0627,0.1457,0.0
6,6,10,0.0,0.1,0.6,pso,92991.9108,97449.2229,4.574,0.1401,0.5147
6,6,10,0.0,0.1,0.6,ga,92852.3797,97449.2229,4.7172,0.1578,0.3639
6,6,10,0.0,0.5,0.825,qpso,91775.1239,92327.0279,0.5978,0.1613,0.0
6,6,10,0.0,0.5,0.825,pso,91775.1239,92327.0279,0.5978,0.1539,0.0
6,6,10,0.0,0.5,0.825,ga,91775.1239,92327.0279,0.5978,0.1786,0.0
6,6,10,9.0,0.1,0.6083333333333333,qpso,87495.6136,92107.7792,5.0074,0.1343,0.0106
6,6,10,9.0,0.1,0.6083333333333333,pso,87486.3214,92107.7792,5.0174,0.1335,0.0
6,6,10,9.0,0.1,0.6083333333333333,ga,87663.348,92107.7792,4.8253,0.1387,0.2023
6,6,10,9.0,0.5,0.7666666666666667,qpso,118261.9058,118497.9436,0.1992,0.2059,0.0
6,6,10,9.0,0.5,0.7666666666666667,pso,118261.9058,118497.9436,0.1992,0.1916,0.0
6,6,10,9.0,0.5,0.7666666666666667,ga,118261.9058,118497.9436,0.1992,0.1922,0.0
6,6,20,0.0,0.1,0.8416666666666667,qpso,148610.2119,149224.281,0.4115,0.2888,0.0299
6,6,20,0.0,0.1,0.8416666666666667,pso,148565.75,149224.281,0.4413,0.278,0.0
6,6,20,0.0,0.1,0.8416666666666667,ga,148661.5596,149224.281,0.3771,0.2759,0.0645
6,6,20,0.0,0.5,0.9083333333333333,qpso,222126.2684,222126.2684,0.0,0.3974,0.0
6,6,20,0.0,0.5,0.9083333333333333,pso,222126.2684,222126.2684,0.0,0.3594,0.0
6,6,20,0.0,0.5,0.9083333333333333,ga,222126.2684,222126.2684,0.0,0.3672,0.0
6,6,20,9.0,0.1,0.6666666666666666,qpso,186529.2601,187937.912,0.7495,0.3225,0.0
6,6,20,9.0,0.1,0.6666666666666666,pso,186954.9476,187937.912,0.523,0.3204,0.2282
6,6,20,9.0,0.1,0.6666666666666666,ga,186954.5892,187937.912,0.5232,0.315,0.228
6,6,20,9.0,0.5,0.9333333333333333,qpso,193442.4206,194470.8569,0.5288,0.3456,0.0292
6,6,20,9.0,0.5,0.9333333333333333,pso,193515.7252,194470.8569,0.4911,0.3585,0.0671
6,6,20,9.0,0.5,0.9333333333333333,ga,193385.9712,194470.8569,0.5579,0.3315,0.0
