rows,cols,vehicles,hub_ratio,variance,method,iteration,best_fitness
8,8,10,0.0,0.1,qpso,0,136468.4941
8,8,10,0.0,0.1,qpso,1,136468.4941
8,8,10,0.0,0.1,qpso,2,136468.4941
8,8,10,0.0,0.1,qpso,3,136468.4941
8,8,10,0.0,0.1,qpso,4,136468.4941
8,8,10,0.0,0.1,qpso,5,136468.4941
8,8,10,0.0,0.1,qpso,6,136468.4941
8,8,10,0.0,0.1,qpso,7,136468.4941
8,8,10,0.0,0.1,qpso,8,136468.4941
8,8,10,0.0,0.1,qpso,9,136468.4941
8,8,10,0.0,0.1,qpso,10,136468.4941
8,8,10,0.0,0.1,qpso,11,136468.4941
8,8,10,0.0,0.1,qpso,12,136468.4941
8,8,10,0.0,0.1,qpso,13,136468.4941
8,8,10,0.0,0.1,qpso,14,136468.4941
8,8,10,0.0,0.1,qpso,15,136468.4941
8,8,10,0.0,0.1,qpso,16,136468.4941
8,8,10,0.0,0.1,qpso,17,136468.4941
8,8,10,0.0,0.1,qpso,18,136468.4941
8,8,10,0.0,0.1,qpso,19,136468.4941
8,8,10,0.0,0.1,qpso,20,136468.4941
8,8,10,0.0,0.1,pso,0,136468.4941
8,8,10,0.0,0.1,pso,1,136468.4941
8,8,10,0.0,0.1,pso,2,136468.4941
8,8,10,0.0,0.1,pso,3,136468.4941
8,8,10,0.0,0.1,pso,4,136468.4941
8,8,10,0.0,0.1,pso,5,136468.4941
8,8,10,0.0,0.1,pso,6,136468.4941
8,8,10,0.0,0.1,pso,7,136468.4941
8,8,10,0.0,0.1,pso,8,136468.4941
8,8,10,0.0,0.1,pso,9,136468.4941
8,8,10,0.0,0.1,pso,10,136468.4941
8,8,10,0.0,0.1,pso,11,136468.4941
8,8,10,0.0,0.1,pso,12,136468.4941
8,8,10,0.0,0.1,pso,13,136468.4941
8,8,10,0.0,0.1,pso,14,136468.4941
8,8,10,0.0,0.1,pso,15,136468.4941
8,8,10,0.0,0.1,pso,16,136468.4941
8,8,10,0.0,0.1,pso,17,136468.4941
8,8,10,0.0,0.1,pso,18,136468.4941
8,8,10,0.0,0.1,pso,19,136468.4941
8,8,10,0.0,0.1,pso,20,136468.4941
8,8,10,0.0,0.1,ga,0,136468.4941
8,8,10,0.0,0.1,ga,1,136468.4941
8,8,10,0.0,0.1,ga,2,136468.4941
8,8,10,0.0,0.1,ga,3,136468.4941
8,8,10,0.0,0.1,ga,4,136468.4941
8,8,10,0.0,0.1,ga,5,136468.4941
8,8,10,0.0,0.1,ga,6,136468.4941
8,8,10,0.0,0.1,ga,7,136468.4941
8,8,10,0.0,0.1,ga,8,136468.4941
8,8,10,0.0,0.1,ga,9,136468.4941
8,8,10,0.0,0.1,ga,10,136468.4941
8,8,10,0.0,0.1,ga,11,136390.3781
8,8,10,0.0,0.1,ga,12,136390.3781
8,8,10,0.0,0.1,ga,13,136390.3781
8,8,10,0.0,0.1,ga,14,136390.3781
8,8,10,0.0,0.1,ga,15,136390.3781
8,8,10,0.0,0.1,ga,16,136390.3781
8,8,10,0.0,0.1,ga,17,136390.3781
8,8,10,0.0,0.1,ga,18,136390.3781
8,8,10,0.0,0.1,ga,19,136390.3781
8,8,10,0.0,0.1,ga,20,136390.3781
8,8,10,0.0,0.5,qpso,0,133239.8741
8,8,10,0.0,0.5,qpso,1,132552.4975
8,8,10,0.0,0.5,qpso,2,132552.4975
8,8,10,0.0,0.5,qpso,3,132552.4975
8,8,10,0.0,0.5,qpso,4,132552.4975
8,8,10,0.0,0.5,qpso,5,132552.4975
8,8,10,0.0,0.5,qpso,6,131888.9158
8,8,10,0.0,0.5,qpso,7,131888.9158
8,8,10,0.0,0.5,qpso,8,131888.9158
8,8,10,0.0,0.5,qpso,9,131888.9158
8,8,10,0.0,0.5,qpso,10,131888.9158
8,8,10,0.0,0.5,qpso,11,131888.9158
8,8,10,0.0,0.5,qpso,12,131888.9158
8,8,10,0.0,0.5,qpso,13,131888.9158
8,8,10,0.0,0.5,qpso,14,131888.9158
8,8,10,0.0,0.5,qpso,15,131888.9158
8,8,10,0.0,0.5,qpso,16,131888.9158
8,8,10,0.0,0.5,qpso,17,131726.662
8,8,10,0.0,0.5,qpso,18,131726.662
8,8,10,0.0,0.5,qpso,19,131726.662
8,8,10,0.0,0.5,qpso,20,131726.662
8,8,10,0.0,0.5,pso,0,133239.8741
8,8,10,0.0,0.5,pso,1,133239.8741
8,8,10,0.0,0.5,pso,2,133239.8741
8,8,10,0.0,0.5,pso,3,133239.8741
8,8,10,0.0,0.5,pso,4,133239.8741
8,8,10,0.0,0.5,pso,5,133239.8741
8,8,10,0.0,0.5,pso,6,132390.7657
8,8,10,0.0,0.5,pso,7,132325.4008
8,8,10,0.0,0.5,pso,8,132261.3978
8,8,10,0.0,0.5,pso,9,132217.1658
8,8,10,0.0,0.5,pso,10,132001.7706
8,8,10,0.0,0.5,pso,11,132001.7706
8,8,10,0.0,0.5,pso,12,132001.7706
8,8,10,0.0,0.5,pso,13,131804.8637
8,8,10,0.0,0.5,pso,14,131804.8637
8,8,10,0.0,0.5,pso,15,131765.2108
8,8,10,0.0,0.5,pso,16,131765.2108
8,8,10,0.0,0.5,pso,17,131765.2108
8,8,10,0.0,0.5,pso,18,131765.2108
8,8,10,0.0,0.5,pso,19,131765.2108
8,8,10,0.0,0.5,pso,20,131765.2108
