rows,cols,vehicles,hub_ratio,variance,reduction_ratio,method,final_fitness,ue_fitness,improve_pct,runtime_sec,gap_to_best_pct
8,8,10,0.0,0.1,0.5714285714285714,qpso,136468.4941,136468.4941,0.0,0.1922,0.0573
8,8,10,0.0,0.1,0.5714285714285714,pso,136468.4941,136468.4941,0.0,0.179,0.0573
8,8,10,0.0,0.1,0.5714285714285714,ga,136390.3781,136468.4941,0.0572,0.1792,0.0
8,8,10,0.0,0.5,0.6741071428571429,qpso,131726.662,133239.8741,1.1357,0.2142,0.0
8,8,10,0.0,0.5,0.6741071428571429,pso,131765.2108,133239.8741,1.1068,0.2079,0.0293
8,8,10,0.0,0.5,0.6741071428571429,ga,131726.662,133239.8741,1.1357,0.2067,0.0
8,8,10,9.0,0.1,0.30357142857142855,qpso,99397.2048,103585.1436,4.043,0.1037,0.0
8,8,10,9.0,0.1,0.30357142857142855,pso,100059.2838,103585.1436,3.4038,0.1038,0.6661
8,8,10,9.0,0.1,0.30357142857142855,ga,99488.3796,103585.1436,3.955,0.0993,0.0917
8,8,10,9.0,0.5,0.5580357142857143,qpso,191984.5435,210097.3339,8.6211,0.2335,0.5314
8,8,10,9.0,0.5,0.5580357142857143,pso,190969.7466,210097.3339,9.1042,0.2264,0.0
8,8,10,9.0,0.5,0.5580357142857143,ga,194172.9107,210097.3339,7.5795,0.2254,1.6773
8,8,20,0.0,0.1,0.7321428571428571,qpso,228758.6751,228758.6751,0.0,0.3923,0.0151
8,8,20,0.0,0.1,0.7321428571428571,pso,228758.6751,228758.6751,0.0,0.3864,0.0151
8,8,20,0.0,0.1,0.7321428571428571,ga,228724.0297,228758.6751,0.0151,0.3863,0.0
8,8,20,0.0,0.5,0.8303571428571429,qpso,262839.5971,263380.8467,0.2055,0.4468,0.011
8,8,20,0.0,0.5,0.8303571428571429,pso,262839.5971,263380.8467,0.2055,0.4421,0.011
8,8,20,0.0,0.5,0.8303571428571429,ga,262810.7047,263380.8467,0.2165,0.4341,0.0
8,8,20,9.0,0.1,0.4732142857142857,qpso,208659.1941,208659.1941,0.0,0.3052,0.0875
8,8,20,9.0,0.1,0.4732142857142857,pso,208659.1941,208659.1941,0.0,0.303,0.0875
8,8,20,9.0,0.1,0.4732142857142857,ga,208476.7988,208659.1941,0.0874,0.3027,0.0
8,8,20,9.0,0.5,0.7098214285714286,qpso,320728.3177,321219.4091,0.1529,0.4948,0.0
8,8,20,9.0,0.5,0.7098214285714286,pso,321219.4091,321219.4091,0.0,0.4894,0.1531
8,8,20,9.0,0.5,0.7098214285714286,ga,320728.3177,321219.4091,0.1529,0.4875,0.0
15,15,10,0.0,0.1,0.24285714285714285,qpso,257965.3167,258711.4079,0.2884,0.3776,0.0
15,15,10,0.0,0.1,0.24285714285714285,pso,258143.3015,258711.4079,0.2196,0.3504,0.069
15,15,10,0.0,0.1,0.24285714285714285,ga,258114.236,258711.4079,0.2308,0.3576,0.0577
15,15,10,0.0,0.5,0.29642857142857143,qpso,246932.7711,247912.3862,0.3951,0.2695,0.1393
15,15,10,0.0,0.5,0.29642857142857143,pso,247129.9008,247912.3862,0.3156,0.2486,0.2193
15,15,10,0.0,0.5,0.29642857142857143,ga,246589.211,247912.3862,0.5337,0.2541,0.0
15,15,10,9.0,0.1,0.11785714285714285,qpso,161020.2348,191991.1981,16.1314,0.1942,0.0
15,15,10,9.0,0.1,0.11785714285714285,pso,161213.0494,191991.1981,16.031,0.194,0.1197
15,15,10,9.0,0.1,0.11785714285714285,ga,161140.6525,191991.1981,16.0687,0.1894,0.0748
15,15,10,9.0,0.5,0.3,qpso,342755.1766,345127.5659,0.6874,0.4986,0.1362
15,15,10,9.0,0.5,0.3,pso,343467.834,345127.5659,0.4809,0.4753,0.3444
15,15,10,9.0,0.5,0.3,ga,342289.1239,345127.5659,0.8224,0.4888,0.0
15,15,20,0.0,0.1,0.3404761904761905,qpso,410389.1265,410389.1265,0.0,0.693,0.0
15,15,20,0.0,0.1,0.3404761904761905,pso,410389.1265,410389.1265,0.0,0.6741,0.0
15,15,20,0.0,0.1,0.3404761904761905,ga,410389.1265,410389.1265,0.0,0.6763,0.0
15,15,20,0.0,0.5,0.4511904761904762,qpso,489731.2009,489731.2009,0.0,1.0393,0.0
15,15,20,0.0,0.5,0.4511904761904762,pso,489731.2009,489731.2009,0.0,0.9882,0.0
15,15,20,0.0,0.5,0.4511904761904762,ga,489731.2009,489731.2009,0.0,0.9876,0.0
15,15,20,9.0,0.1,0.18571428571428572,qpso,418428.1995,426919.2988,1.9889,0.5505,0.3265
15,15,20,9.0,0.1,0.18571428571428572,pso,417066.4441,426919.2988,2.3079,0.5367,0.0
15,15,20,9.0,0.1,0.18571428571428572,ga,417923.5716,426919.2988,2.1071,0.5346,0.2055
15,15,20,9.0,0.5,0.41904761904761906,qpso,703478.7943,706919.7951,0.4868,1.2796,0.5522
15,15,20,9.0,0.5,0.41904761904761906,pso,706889.9007,706919.7951,0.0042,1.2806,1.0398
15,15,20,9.0,0.5,0.41904761904761906,ga,699615.4566,706919.7951,1.0333,1.2922,0.0
